N-gram,TF,DF
瑞士,143.0,66.0
均值,142.0,100.0
信貸,142.0,86.0
作帳行情,142.0,121
種類,142.0,136.0
低盤,142.0,137.0
筆電,141.0,104.0
招攬,141.0,139.0
電子族群,141.0,124.0
配息率,141.0,65.0
大投資,141.0,130.0
今年營收,141.0,121.0
拓展,141.0,116.0
鳳凰,141.0,94.0
開低震盪,140.0,116.0
中股價,140.0,111.0
轉賣,140.0,115.0
封測廠,140.0,104.0
依賴,140.0,104.0
週邊,140.0,124.0
歸屬,140.0,100.0
觀望氣氛,139.0,121.0
台積電領軍,139.0,129.
科技公司,139.0,115.0
展示,138.0,113.0
持續強,138.0,124.0
季成長,138.0,112.0
半導體指數下,138.0,130.0
出清,138.0,89.0
低接買,138.0,119.0
年化,138.0,87.0
全球晶圓,138.0,121.0
存款,137.0,65.0
恩智浦,137.0,103.0
續加,137.0,129.0
券統計,137.0,137.0
個股買賣,137.0,137.0
美國存託憑證,136.0,121.0
榮峰,136.0,134.0
營收占比,136.0,104.0
優惠,136.0,100.0
高收,136.0,132.0
熊本縣,136.0,39.0
除權,135.0,87.0
交易個股買賣,135.0,135.0
鍾榮峰,135.0,133.0
低接買盤,135.0,118.0
由黑翻紅,135.0,111.0
大利多,135.0,109.0
連黑,135.0,106.0
紅棒,135.0,122.0
研發中心,135.0,72.0
賺到,135.0,102.0
受影響,135.0,115.0
委託,135.0,103.0
鎖死,135.0,104.0
國際電腦展,135.0,102.0
台股總成交值,135.0,135.0
早盤股價,134.0,113.0
缺乏,134.0,122.0
華爾街日報,134.0,64.0
好轉,133.0,118.0
中共,133.0,74.0
銷量,133.0,95.0
營收比重,133.0,105.0
訊芯,132.0,108.0
失守點,132.0,103.0
法國,132.0,94.0
台北國際電展,132.0,103.0
臺灣證券交易,131.0,122.0
盤中股價,131.0,102.0
商辦,131.0,32.0
董事長劉德音,131.0,123.0
貼息,131.0,87.0
群光,131.0,111.0
獲利表現,130.0,124.0
多重,130.0,91.0
金聯,130.0,115.0
產出,130.0,112.0
消息人士,130.0,94.0
有均線之上,130.0,109.0
失業率,130.0,110.0
可觀,129.0,121.0
引擎,129.0,109.0
數據中心,129.0,68.0
山林,128.0,71.0
稼動率,128.0,73.0
石油,128.0,92.0
台股多頭,128.0,116.0
台北國際電腦展,128.0,99.0
季配,128.0,68.0
殺點,127.0,111.0
製程產能,127.0,86.0
尺寸,127.0,76.0
產量,127.0,92.0
封裝廠,127.0,77.0
交易單,127.0,69.0
任何建議,127.0,127.0
零售銷售,127.0,99.0
營收表現,126.0,111.0
引爆,126.0,113.0
財報表,126.0,118.0
櫃檯,126.0,117.0
國內消息,126.0,63.0
指數下挫,126.0,108.0
高利,126.0,117.0
台股基金,126.0,47.0
新藥,125.0,75.0
蘋果供應,125.0,80.0
估算,125.0,113.0
全球晶圓代工,125.0,114.0
大華,125.0,101.0
儀器,125.0,105.0
立委,124.0,73.0
陸行,124.0,39.0
滑落,124.0,109.0
關心,124.0,115.0
晶體,124.0,87.0
沉重,124.0,120.0
近期股價,124.0,113.0
交易單位,123.0,65.0
台股走勢,122.0,111.0
差點,122.0,88.0
國發基金,122.0,26.0
凸顯,122.0,116.0
晶片大廠,122.0,113.0
全球經濟,122.0,100.0
富世達,122.0,105.0
代銷,122.0,44.0
速成,122.0,118.0
買市,122.0,104.0
行庫,122.0,92.0
延遲,121.0,93.0
冠軍,121.0,106.0
長假,121.0,96.0
學生,121.0,56.0
年配息,121.0,45.0
郭正亮,121.0,59.0
瑞儀,121.0,106.0
長達,121.0,108.0
營收可望,121.0,104.0
恒生,121.0,114.0
台股開低,121.0,108.0
永遠,121.0,92.0
電晶體,120.0,85.0
守季線,120.0,92.0
匯出,120.0,81.0
輝達晶片,120.0,94.0
縮短,120.0,101.0
介入,120.0,103.0
翻揚,119.0,101.0
愛普,119.0,92.0
債務上限,119.0,84.0
思科,119.0,96.0
早盤最低,119.0,81.0
保留,119.0,79.0
連接,118.0,93.0
東西,118.0,83.0
半導體指數上,118.0,117.0
蘋果供應鏈,118.0,74.0
動盪,118.0,110.0
速成長,118.0,114.0
期望,118.0,95.0
公司之關係,118.0,49.0
新任,118.0,90.0
總價,118.0,57.0
聯準會官員,118.0,105.0
現場,117.0,96.0
前提,117.0,111.0
主義,117.0,102.0
破前,117.0,99.0
急殺,117.0,103.0
門檻,116.0,104.0
台積電熊本,116.0,73.0
投資決定,116.0,111.0
彩晶,116.0,89.0
華泰,116.0,89.0
神基,116.0,104.0
街口,116.0,108.0
明朗,116.0,110.0
亮相,116.0,98.0
美國公布,116.0,109.0
採訪,115.0,110.0
薪水,115.0,75.0
喊話,115.0,98.0
奈米技術,115.0,70.0
低成本,115.0,97.0
散裝航運,115.0,92.0
招致,115.0,115.0
投機,115.0,79.0
帶動股價,115.0,107.0
選擇權未平倉,114.0,114.0
大交易,114.0,113.0
瘋狂,114.0,89.0
應用材料,114.0,113.0
精實,113.0,113.0
類指數,113.0,73.0
台積電開低,113.0,107.0
連日累計,113.0,45.0
持續看好,113.0,105.0
達華,113.0,111.0
轉嫁,113.0,89.0
董事長黎方國,113.0,110.0
革命,113.0,78.0
陸續公布,113.0,106.0
統一投顧董事,113.0,110.0
資金動向,113.0,113.0
預估值,113.0,80.0
開高震盪,112.0,88.0
創新科技,112.0,36.0
打開,112.0,107.0
獨立思考,112.0,112.0
權股價,112.0,83.0
增資,112.0,65.0
高壓,112.0,75.0
誘使,112.0,112.0
整理格局,112.0,108.0
美股盤後,112.0,109.0
個人獨立思考,111.0,111.0
議院,111.0,75.0
櫃買市場,111.0,95.0
開市,111.0,90.0
數周,111.0,94.0
類股下,111.0,43.0
罷工,111.0,71.0
選前,111.0,90.0
相關建議,111.0,111.0
除權息,111.0,78.0
重摔,111.0,97.0
半導體先進製,111.0,99.0
現金流,111.0,92.0
流動性,110.0,91.0
上影線,110.0,103.0
全球市場,109.0,92.0
國債,109.0,89.0
其他電子,109.0,89.0
代理,109.0,67.0
加權股價,109.0,80.0
