N-gram,TF,DF
高階智慧,24.0,22.0
神龍,24.0,18.0
產業方面,24.0,23.0
殖利率上升,24.0,24.0
太陽光電,24.0,15.0
持續聚焦,24.0,23.0
許美華,24.0,5.0
偷走美國,24.0,16.0
保羅,24.0,6.0
黃國昌,24.0,4.0
美國優先,24.0,18.0
限電,24.0,10.0
邁威爾,24.0,19.0
淡水,24.0,12.0
看盤軟體當機,24.0,24.0
利多因素,24.0,23.0
產能過剩,24.0,14.0
分子,23.0,21.0
首創,23.0,23.0
晶片給中國,23.0,23.0
勞動節休市,23.0,21.0
報廢,23.0,17.0
大技術,23.0,23.0
玩家,23.0,18.0
民眾黨,23.0,5.0
衝破萬點,23.0,22.0
農曆封關,23.0,14.0
健康科技,23.0,8.0
川普一席話,23.0,19.0
公布營收,23.0,23.0
大產能,23.0,21.0
個股成交值,23.0,21.0
天龍,23.0,19.0
突破月線,23.0,19.0
美國支付,23.0,20.0
封裝測試光罩,23.0,17.0
台股春節,22.0,20.0
台股受益人,22.0,10.0
酬勞,22.0,9.0
樓主,22.0,18.0
相關零組件,22.0,21.0
測目標,22.0,21.0
訊達,22.0,18.0
期間大,22.0,19.0
神龍擺尾,22.0,17.0
達智,22.0,21.0
雲端服務商,22.0,18.0
陽明交大,22.0,13.0
高端疫苗,22.0,18.0
高麗,22.0,14.0
梧棲,22.0,8.0
先進晶圓製程,22.0,15.0
晶片類,22.0,19.0
台積電不可能,22.0,21.0
參選人川普,22.0,19.0
季增毛利率,22.0,18.0
國際科技,22.0,17.0
高雄市政府,22.0,11.0
台灣晶片技術,22.0,20.0
基石,22.0,22.0
買賣移轉棟數,22.0,10.0
俄州,22.0,15.0
兆豐金中信,22.0,22.0
軍方,22.0,14.0
嚴厲,22.0,20.0
群華,22.0,22.0
房價高,22.0,19.0
車機,22.0,21.0
買主,22.0,14.0
晶片王,22.0,22.0
電動車科技,22.0,7.0
扣除保險,22.0,15.0
台積電拉尾,22.0,21.0
費用率,22.0,9.0
維持買進評等,21.0,11.0
地震損失,21.0,15.0
聲勢,21.0,20.0
陳依旻,21.0,19.0
小型指數,21.0,14.0
晶片管制,21.0,18.0
金釵,21.0,17.0
日封,21.0,20.0
外資青睞,21.0,19.0
龍巖,21.0,6.0
銜接,21.0,17.0
光罩製作,21.0,15.0
投資展望,21.0,14.0
持續暢旺,21.0,20.0
美國長期坐視,21.0,20.0
換機潮,21.0,21.0
利率下降,21.0,19.0
胡采蘋,21.0,5.0
質疑美國,21.0,19.0
刪除文章,21.0,3.0
金錢,21.0,17.0
喜訊,21.0,19.0
長期坐視台灣,21.0,20.0
餐敘,21.0,14.0
歷史最高,21.0,21.0
保險理賠,21.0,15.0
創今年新高,21.0,19.0
盛群,21.0,18.0
震盪逾點,21.0,17.0
鴿派訊息,21.0,18.0
創史上新高,21.0,20.0
炒熱,21.0,20.0
點創新高,21.0,21.0
連線,21.0,17.0
高人氣,21.0,18.0
今年晶圓,21.0,19.0
台股未來,21.0,18.0
消費電子展,21.0,21.0
總經理張繼文,21.0,21.0
盤縮,21.0,19.0
日量能,21.0,17.0
洗三溫暖,21.0,19.0
外資大買,21.0,19.0
投資詐騙,21.0,6.0
研院院士,21.0,15.0
租約,21.0,12.0
市值占比,21.0,13.0
石門水庫,20.0,3.0
小港,20.0,7.0
乙太,20.0,10.0
科技電動車,20.0,7.0
遺產稅,20.0,6.0
太陽能板,20.0,5.0
裝測試光罩製,20.0,14.0
平均房貸,20.0,5.0
救英特爾,20.0,17.0
入侵,20.0,15.0
副作用,20.0,3.0
高科技基金,20.0,12.0
晶圓代工產值,20.0,13.0
全球政經,20.0,9.0
英業達神達,20.0,15.0
貢獻大盤點,20.0,20.0
低谷,20.0,20.0
年增每股稅後,20.0,14.0
工研院院士,20.0,14.0
聯合報,20.0,15.0
美國付保護費,20.0,19.0
全球重要,20.0,20.0
今年伺服器,20.0,18.0
頭獎,20.0,5.0
演算法,20.0,16.0
扣除保險理賠,20.0,14.0
全球通膨,20.0,18.0
追高殺低,20.0,18.0
技嘉華碩,20.0,16.0
倉口,20.0,14.0
空單水位,20.0,19.0
有望突破,20.0,19.0
炫耀,20.0,18.0
聯友金屬,20.0,3.0
支付保護費,20.0,18.0
套牢區,20.0,16.0
旗艦動能指數,20.0,8.0
持續站穩,20.0,16.0
交易情況,20.0,20.0
快跑,20.0,18.0
卡特,20.0,18.0
英特爾台積電,20.0,11.0
成精,20.0,8.0
美國上市,20.0,16.0
彩頭,20.0,17.0
奧特曼,19.0,5.0
中國晶片禁令,19.0,18.0
上修目標,19.0,7.0
產業革命,19.0,11.0
派遣,19.0,17.0
東證期貨,19.0,19.0
晶片領域,19.0,18.0
笑話,19.0,14.0
機率大增,19.0,18.0
消息帶,19.0,19.0
蘋果股票,19.0,11.0
生產指數,19.0,9.0
作風,19.0,18.0
蘇姿丰訪台,19.0,14.0
囤房稅,19.0,13.0
勞基法,19.0,8.0
台股受惠,19.0,19.0
賠償,19.0,8.0
營收增長,19.0,17.0
需求強勁,19.0,18.0
許正宗,19.0,6.0
整體產能,19.0,15.0
維持多方,19.0,16.0
通話,19.0,18.0
樂觀期待,19.0,17.0
中研院,19.0,9.0
蔡明翰指出,19.0,18.0
目標價調升,19.0,16.0
未來半導體,19.0,17.0
發元現金股利,19.0,17.0
美光科技,19.0,10.0
川普受訪,19.0,16.0
美系投資人,19.0,12.0
創下收盤新高,19.0,15.0
狂噴,19.0,18.0
添動能,19.0,17.0
台積電提供,19.0,14.0
機組跳機,19.0,8.0
停開,19.0,17.0
台積電領先,19.0,16.0
生醫類,19.0,14.0
條件下不再考,19.0,11.0
華碩微星,19.0,16.0
柯文哲,19.0,6.0
拉警報,19.0,17.0
鋼鐵航運,19.0,19.0
地震發生,19.0,10.0
今天成交值,19.0,15.0
美股延續,19.0,14.0
友輝,19.0,4.0
供應鏈消息,19.0,19.0
子領域,19.0,19.0
相關商機,19.0,19.0
頭期款,19.0,12.0
中裕,19.0,17.0
通訊產品,19.0,19.0
兆豐金中信金,19.0,19.0
基層,19.0,12.0
法說行情,19.0,17.0
川普執政,19.0,18.0
川普表示,19.0,18.0
微星技嘉,18.0,15.0
階梯式,18.0,18.0
通膨下降,18.0,17.0
翻黑盤,18.0,17.0
通訊廠,18.0,17.0
本業獲利,18.0,14.0
當選總統,18.0,17.0
台積電擴廠,18.0,16.0
台新金華,18.0,18.0
住房,18.0,17.0
保持樂觀,18.0,17.0
收益分配,18.0,13.0
緊缺,18.0,17.0
基隆,18.0,12.0
止向中國,18.0,17.0
國民年金,18.0,3.0
聯合健康,18.0,17.0
測底,18.0,14.0
美國支付保護,18.0,16.0
貿易限制,18.0,15.0
鐘崑禎,18.0,6.0
林淑真,18.0,5.0
執行長蔡力行,18.0,17.0
未來降息,18.0,17.0
國家經濟,18.0,15.0
人力銀行,18.0,6.0
採用架構,18.0,13.0
滿血,18.0,12.0
管制晶片,18.0,13.0
聯成,18.0,18.0
丁學文,18.0,1.0
美國保護費,18.0,16.0
勤崴,18.0,2.0
張甄薇,18.0,5.0
天使投資,18.0,8.0
石川縣,18.0,7.0
轉倉,18.0,13.0
讀書,18.0,13.0
上市以來,18.0,17.0
可望持續受惠,18.0,18.0
全球小型指數,18.0,11.0
期日均,18.0,16.0
未平倉淨空單,18.0,16.0
封裝產能吃緊,18.0,17.0
弱點,18.0,12.0
台灣光罩,18.0,2.0
製程訂單,18.0,17.0
降低投資,18.0,14.0
綠能產業,18.0,18.0
復原率,18.0,11.0
多變數,18.0,16.0
懲罰,18.0,11.0
工作天數減少,18.0,16.0
分擔,18.0,10.0
地下水,18.0,2.0
升溫美國,18.0,15.0
共同研發,18.0,13.0
台積電前董事,18.0,16.0
總統川普上任,18.0,17.0
感測元件,18.0,12.0
晶片測試,18.0,8.0
